AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.382661824,0.31734602,0.862623585,0.048872561,0.368353189,0.98507691,0.304343562,0.463492184,0.954722643,0.976017968,0.338686513,0.409907458,0.188125417
0.816362458,0.757931369,0.288103248,0.295385896,0.257739151,0.927932749,0.498107285,0.803150965,0.948670701,0.945346878,0.272375932,0.538649973,0.174783189
0.331232481,0.216384011,0.889516949,0.082652879,0.642966236,0.934757487,0.330223838,0.331013361,0.946642513,0.964807418,0.231568738,0.373434948,0.155881699
0.743726455,0.681396323,0.380518818,0.145250913,0.277643823,0.903396139,0.311354616,0.736591304,0.941783123,0.963766023,0.274930321,0.290691345,0.202801868
0.269011295,0.200749191,0.86162547,0.018242134,0.660455887,0.730931544,0.631475192,0.282635293,0.808585918,0.804030261,0.293836058,0.447196516,0.353569046
0.52053121,0.408773711,0.766643577,0.050613426,0.440108147,0.970704056,0.330098473,0.555996235,0.954524884,0.970554274,0.037270281,0.469515514,0.230375806
0.695942083,0.549608222,0.606290869,0.191916939,0.437011072,0.95334678,0.392249823,0.69355817,0.889298989,0.966200458,0.236845355,0.391126837,0.116966867
0.867357365,0.829320384,0.249234967,0.051391162,0.15146819,0.804498806,0.56368888,0.872069187,0.926317903,0.924955785,0.144723875,0.602340773,0.25572604
0.383228895,0.301241079,0.77071015,0.011339463,0.585204551,0.610463974,0.625279693,0.413873638,0.803625041,0.711678693,0.29066816,0.614861187,0.23682455
0.406553703,0.318377538,0.773035714,0.123923107,0.43795947,0.978472528,0.262187214,0.434861516,0.98181521,0.98509239,0.336627245,0.248502994,0.280853903
0.539424455,0.453660662,0.632704693,0.173740476,0.163544166,0.637306177,0.422430479,0.529127655,0.822760904,0.711526841,0.269711625,0.762928688,0.238603513
0.687155712,0.619765153,0.462179706,0.302992432,0.243032132,0.918768713,0.335041572,0.67757258,0.935024296,0.944123782,0.271656566,0.422155689,0.16611074
0.225506203,0.137968929,0.934432298,0.121406168,0.347841718,0.981933492,0.247784514,0.230111972,0.974006207,0.976184764,0.254810716,0.639902014,0.214142762
0.219611371,0.089045792,0.960138087,0.298118567,0.49113558,0.982247945,0.173352056,0.175050213,0.985389264,0.961177867,0.078285537,0.615405553,0.346897932
0.826152793,0.768498929,0.322801501,0.668433861,0.11257267,0.967001215,0.596685501,0.827264712,0.988603289,0.974826944,0.263855657,0.333424061,0.253279964
0.3271543,0.260933812,0.848137423,0.010669157,0.296853135,0.334356894,0.936592382,0.365199541,0.659063055,0.583027032,0.495019704,0.333968427,0.16611074
0.427331145,0.266971053,0.861586963,0.091281744,0.599166171,0.968927101,0.320536405,0.412416553,0.964057198,0.967424924,0.292203933,0.427599347,0.082499444
0.48996896,0.379024332,0.704285658,0.19709504,0.256549804,0.886775361,0.374224491,0.478016344,0.94883118,0.936761647,0.271656566,0.586554164,0.205692684
0.454654001,0.392315221,0.680291074,0.082263216,0.344134827,0.842010029,0.41938114,0.445074918,0.936472932,0.923741448,0.326472503,0.513609145,0.10406938
